MLS#,CPR,Photos,Original Price,Region,Sold Price,Sold Ratio,Orig. Ratio,Beds,Living Sq Ft,Land Sq Ft,Year,Days,Condition,Tax,Total Fees,Land.1,Building,Assessed Total,Assessed Ratio,Zoning,Flood Zone,View,Pool,Easements,Stories,SoldDate,ListDate,priceInc,priceDec,largeCPR,aboveOrig,fullBaths,halfBaths,rem5Yrs,Parking2,level,Basement,splitLevel
202124854,0,1,1050000,Metro,1050000,1.0,1.0,4,1176,8440,1947,142,3.5,253,0,777200,88600,865800,1.2128,05 - R-5 Residential District,Zone X,1,0,0,1.0,2021-09-24,2021-05-05,0,0,0,0,1,1,0,3,0,0,0
202109011,0,21,1250000,Metro,1010000,0.9182,1.2376,3,1068,4653,1929,92,5.0,276,0,836600,81500,918100,1.1981,05 - R-5 Residential District,Zone X,1,0,0,1.0,2021-09-24,2021-04-17,0,1,0,1,1,0,1,3,1,0,0
202115711,0,17,1150000,DiamondHd,1000000,0.8696,1.15,3,1524,10000,1928,28,4.0,290,0,906300,58500,964800,1.192,03 - R10 - Residential District,Zone X,0,0,1,1.0,2021-09-24,2021-06-16,0,0,0,1,2,0,0,3,1,0,0
202116612,0,25,1295000,HawaiiKai,1325000,1.0232,0.9774,3,1291,16980,1970,13,6.0,215,0,700100,141400,841500,1.5389,05 - R-5 Residential District,Zone D,1,1,1,1.0,2021-09-24,2021-07-14,0,0,0,0,2,0,0,3,0,0,0
202119252,0,25,1299000,Metro,1360000,1.047,0.9551,3,2415,7987,1951,16,5.5,275,0,808000,133800,941800,1.3793,05 - R-5 Residential District,Zone X,1,0,1,2.0,2021-09-24,2021-07-30,0,0,0,0,2,0,0,2,0,0,0
202120262,0,25,900000,HawaiiKai,865000,0.9611,1.0405,3,1020,5568,1969,19,2.5,220,0,670500,85300,755800,1.1908,05 - R-5 Residential District,Zone D,1,0,1,1.0,2021-09-22,2021-08-09,0,0,0,1,1,1,0,2,0,0,0
202118517,0,25,1150000,Metro,1050000,0.9767,1.0952,3,910,3821,1925,21,4.0,233,0,687900,85900,773800,1.3892,05 - R-5 Residential District,Zone X,0,0,0,1.0,2021-09-22,2021-07-16,0,1,0,1,1,1,0,2,1,0,0
202118964,0,18,1250000,HawaiiKai,1310000,1.048,0.9542,3,1614,6329,1976,9,6.0,262,14,727300,380900,1108200,1.128,05 - R-5 Residential District,Zone D,1,0,0,1.0,2021-09-22,2021-07-25,0,0,0,0,2,0,0,2,1,0,0
202119132,0,24,778000,Metro,830000,1.0668,0.9373,3,864,5000,1956,12,4.0,160,0,580000,74200,654200,1.1892,07 - R-3.5 Residential District,Zone X,1,0,0,2.0,2021-09-21,2021-07-26,0,0,0,0,1,0,1,3,1,0,0
202120799,0,25,795000,DiamondHd,902000,1.1346,0.8814,4,1518,6137,1932,5,1.5,253,0,858300,8500,866800,0.9172,05 - R-5 Residential District,Zone X,1,0,1,2.0,2021-09-21,2021-08-15,0,0,0,0,2,0,0,1,1,0,0
202114784,0,25,928000,Metro,975000,1.0072,0.9518,3,1635,5456,1958,25,5.0,239,0,668300,149600,817900,1.1835,05 - R-5 Residential District,Zone X,0,0,0,1.0,2021-09-21,2021-06-04,1,0,0,0,2,1,0,2,1,0,0
202119432,0,17,888000,Metro,1130000,1.1311,0.7858,4,1405,5002,1963,11,3.5,246,0,825100,152100,977200,1.0223,05 - R-5 Residential District,Zone X,1,0,0,1.0,2021-09-21,2021-07-29,1,0,0,0,2,0,0,2,1,0,0
202124538,0,1,1500000,HawaiiKai,1500000,1.0,1.0,4,2150,7548,1970,47,6.0,348,34,886400,413700,1300100,1.1538,04 - R-7.5 Residential District,Zone D,0,1,0,2.0,2021-09-21,2021-08-05,0,0,0,0,3,0,0,3,0,0,0
